Timestamp,Usia,Jenis Kelamin,Lama Mondok,Teks,Seberapa sering Anda merasakan hal berikut saat cerita yang Anda tuliskan terjadi?  [Saya merasa sulit untuk beristirahat.],Seberapa sering Anda merasakan hal berikut saat cerita yang Anda tuliskan terjadi?  [Saya cenderung menunjukkan reaksi berlebihan terhadap suatu situasi.],Seberapa sering Anda merasakan hal berikut saat cerita yang Anda tuliskan terjadi?  [Saya merasa energi saya terkuras karena terlalu cemas.],Seberapa sering Anda merasakan hal berikut saat cerita yang Anda tuliskan terjadi?  [Saya merasa gelisah.],Seberapa sering Anda merasakan hal berikut saat cerita yang Anda tuliskan terjadi?  [Saya merasa sulit untuk merasa tenang.],Seberapa sering Anda merasakan hal berikut saat cerita yang Anda tuliskan terjadi?  [Saya sulit untuk bersabar dalam menghadapi gangguan yang terjadi ketika sedang melakukan sesuatu.],Seberapa sering Anda merasakan hal berikut saat cerita yang Anda tuliskan terjadi?  [Perasaan saya mudah tergugah atau tersentuh.],Skor
26/06/2026,14,Laki-Laki,>3 Tahun,yang paling ga bisa bikin santai tuh kebanyakan ngumpul absen lah apalagi muhadharoh karena disuruh nulis pidato terus minta ttd hadeuhhh,2,0,0,2,2,2,0,16
26/06/2026,18,Perempuan,>3 Tahun,"Tidak punya privasi,sperti kamar sendiri",2,1,1,0,2,1,0,14
26/06/2026,18,Perempuan,>3 Tahun,"kadang kangen di rumah pas hari hari besar kaya pas puasa, lebaran haji",0,3,0,0,1,0,2,12
26/06/2026,15,Laki-Laki,1-3 tahun,"aman ajaa ga ada yang bikin stres, saya gampang beradaptasi ",1,0,0,0,1,0,1,6
26/06/2026,17,Laki-Laki,1-3 tahun,"seru seru aja pesantren tuh, yang ga asik tuh ngumpul ngumpul ga jelas ",2,0,0,0,0,2,0,8
26/06/2026,16,Laki-Laki,1-3 tahun,"stres nya pas di tingkat akhir aja sihh, soalnya banyak praktek praktek yang harus dihafal, kaya amaliyah tadris",3,0,0,0,2,2,0,14
26/06/2026,18,Perempuan,>3 Tahun,yaa so far biasa aja sih ga ada yg buat stres,1,0,0,0,1,0,0,4
26/06/2026,15,Perempuan,<1 Tahun,Kadang suka kesel tipis dalem hati kalau lagi ngantuk berat sehabis ashar tapi masih ada tugas tulis naskah pidato.,1,1,1,1,1,1,0,12
26/06/2026,15,Laki-Laki,<1 Tahun,"seru seru aja sih, yaa kadang ada aja kakak kelas yang rese",1,1,0,0,1,0,0,6
26/06/2026,17,Laki-Laki,1-3 tahun,"Sempet mikir ""duh males banget"" pas denger pengumuman ada kumpul asrama dadakan, walau akhirnya tetep berangkat juga.",1,1,0,1,2,0,0,10
26/06/2026,16,Laki-Laki,1-3 tahun,"pengalaman stres aku pas jadi anak baru sihh, soalnya kaget sama kegiatanya yang padet",3,0,0,2,3,0,3,22
26/06/2026,18,Perempuan,>3 Tahun,"keselnya sampai ke ubun-ubun kalau liat temen sekamar nggak gerak pas dapet jadwal piket, rasanya pengen aku bentak semua.",1,2,0,0,2,3,0,16
26/06/2026,14,Laki-Laki,>3 Tahun,"stres bgttt pas jadi ketua osis karena kurang istirahat, soalnya apa apa yg dipanggil ketua osis. untungnya ada temen temen bantu",3,1,2,2,3,2,0,26
26/06/2026,18,Perempuan,1-3 tahun,Rasa rindu kepada orang tua dan suasana rumah sering kali membuat hati menjadi sangat sedih dan mengganggu fokus.,2,1,1,2,2,2,3,26
26/06/2026,19,Laki-Laki,>3 Tahun,Kurangnya waktu tidur karena jadwal yang sangat padat dari dini hari hingga malam sangat membebani fisik santri.,2,0,0,2,2,2,1,18
26/06/2026,17,Perempuan,>3 Tahun,Beban target hafalan Al-Quran atau kitab yang harus disetorkan setiap hari sering kali memicu stres akademik yang berat.,3,1,2,1,2,2,2,26
26/06/2026,17,Laki-Laki,>3 Tahun,Aturan yang sangat mengikat dan hukuman bagi pelanggarnya menuntut kedisiplinan ekstra yang kadang terasa mengekang.,2,1,0,1,2,1,0,14
26/06/2026,14,Perempuan,>3 Tahun,"Perbedaan karakter, ego, dan kebiasaan teman sekamar sering memicu gesekan dan masalah sosial",1,2,2,3,0,2,2,24
26/06/2026,14,Perempuan,1-3 tahun,yang paling membuat saya stres adalah rasa kangen rumah dan jadwal kegiatan yang padat.,2,1,1,1,1,2,0,16
26/06/2026,18,Perempuan,1-3 tahun,Tekanan moral untuk tidak mengecewakan orang tua dan harus menjadi anak yang sukses selama mondok.,3,2,2,1,2,0,2,24
26/06/2026,17,Perempuan,1-3 tahun,Harus bangun lebih awal dan terburu-buru setiap hari hanya untuk mengantre giliran mandi dan mencuci pakaian.,1,3,2,1,1,2,0,20
26/06/2026,19,Laki-Laki,1-3 tahun,Merasa kelelahan mental dan fisik karena tidak ada jeda istirahat yang cukup di antara rentetan kegiatan harian.,3,2,2,2,1,2,1,26
26/06/2026,19,Perempuan,<1 Tahun,Saya sering merasa tertekan karena banyaknya hafalan dan tugas yang harus diselesaikan,2,2,1,3,2,2,0,24
26/06/2026,14,Laki-Laki,>3 Tahun,Beban pekerjaan seperti mencuci baju secara manual dan menjemurnya di tengah cuaca yang tidak menentu.,0,1,0,1,1,2,1,12
26/06/2026,19,Laki-Laki,>3 Tahun,Stres harus mengatur keuangan bulanan agar cukup memenuhi kebutuhan harian dan tidak kelaparan di akhir bulan.,1,3,2,1,2,2,1,24
26/06/2026,17,Laki-Laki,1-3 tahun,hal yang paling berat bagi saya adalah membagi waktu belajar dan istirahat,2,1,1,2,1,2,0,18
26/06/2026,18,Perempuan,1-3 tahun,Perasaan jengkel dan sedih ketika barang pribadi atau kitab sering hilang atau tertukar dengan milik santri lain.,2,0,1,2,2,2,1,20
26/06/2026,16,Perempuan,<1 Tahun,Terkadang merasa bosan atau tidak cocok dengan menu makanan yang disediakan oleh dapur umum pondok.,2,0,2,2,2,1,1,20
26/06/2026,14,Perempuan,>3 Tahun,saya sering merasa tertekan karena harus bangun pagi dan menjalani aktivitas yang padat setiap hari,3,0,2,1,2,2,2,24
26/06/2026,17,Laki-Laki,1-3 tahun,"Kesulitan menyesuaikan diri dengan budaya, bahasa, dan kebiasaan baru yang jauh berbeda dari daerah asal.",1,2,0,1,2,2,1,18
26/06/2026,18,Perempuan,1-3 tahun,yang paling berat bagi saya adalah menyesuaikan diri dengan peraturan dan rutinitas pondok,2,1,1,3,0,2,3,24
26/06/2026,14,Laki-Laki,>3 Tahun,Sakit demam atau batuk yang harus diobati sendiri tanpa kehadiran dan perawatan langsung dari orang tua.,1,2,2,2,2,2,0,22
26/06/2026,16,Laki-Laki,<1 Tahun,"saya merasa stres ketika tugas, hafalan, dan kegiatan datang bersamaan",3,1,2,0,1,2,1,20
26/06/2026,19,Perempuan,>3 Tahun,Kadang merasa terisolasi secara emosional dan kesepian meskipun selalu dikelilingi oleh banyak teman di asrama.,2,2,1,2,0,2,1,20
26/06/2026,14,Perempuan,>3 Tahun,Saya merasa stres ketika harus menyelesaikan banyak target sementara waktu sangat terbatas,1,2,2,1,2,1,2,22
26/06/2026,14,Laki-Laki,>3 Tahun,Beban pikiran dan waktu ketika harus menyeimbangkan antara tugas pondok dengan tanggung jawab sebagai pengurus organisasi.,3,1,0,1,2,2,1,20
26/06/2026,17,Perempuan,1-3 tahun,Merasa terbebani ketika harus membersihkan area asrama yang luas setelah lelah mengikuti kegiatan belajar seharian.,1,1,2,2,1,2,0,18
26/06/2026,14,Laki-Laki,1-3 tahun,Saya sering merasa tertekan karena sulit mendapatkan waktu untuk beristirahat dengan cukup,2,1,2,2,1,2,1,22
26/06/2026,18,Perempuan,>3 Tahun,Perasaan terbatas ruang geraknya karena aturan perizinan yang sangat ketat hanya untuk sekadar keluar membeli keperluan.,1,2,2,2,2,2,0,22
26/06/2026,18,Perempuan,<1 Tahun,yang paling membuat saya tertekan adalah ketika banyak tugas datang dalam waktu bersamaan,2,0,1,3,2,1,0,18
26/06/2026,16,Perempuan,1-3 tahun,"Kesulitan menggunakan air asrama yang kadang keruh atau berbau untuk keperluan mandi, wudhu, dan mencuci.",2,1,3,2,0,2,2,24
26/06/2026,14,Laki-Laki,>3 Tahun,Hal yang paling berat bagi saya adalah rasa jenuh karena rutinitas yang sama setiap hari,2,1,1,2,3,1,2,24
26/06/2026,18,Laki-Laki,>3 Tahun,Stres menghadapi ujian sekolah formal sekaligus ujian materi kepesantrenan atau diniyah dalam waktu yang bersamaan.,0,1,2,2,2,2,2,22
26/06/2026,14,Perempuan,>3 Tahun,"Saya sedari kecil merasa trauma akan kesendirian dan takut ditinggalkan, jadi selama di asrama yang per kamar masing2 ada teman kamar 4-6 orang itu sangat healing, saya tidak pernah merasa sepi lagi, tapi kadang burn out sih kayak ga terlalu punya space buat diri sendiri, enjoy aja deh",2,3,2,0,2,1,3,26
26/06/2026,17,Laki-Laki,1-3 tahun,"aku orangnya pelupa biasanya diingetin mamah buat ngelakuin tujuan atau nyiapin sesuatu, di pondok itu yang bikin aku agak sulit adaptasi ya, jadi ke sliwer aja gitu rasanya kadang keteteran",2,1,1,1,2,1,2,20
26/06/2026,16,Perempuan,1-3 tahun,"Saat SMP atau SD itu aku bebas banget anaknya mau main kemanapun, sampe di pesantren ya agak kaget lah Mayan sama aturan yang cukup Ketat, semoga bisa survive",2,0,3,2,0,1,2,20
26/06/2026,19,Laki-Laki,1-3 tahun,"hal yang paling bikin culture shock saat mondok tuh d bagian aku yang apa apa biasa sendiri, sekarang kayak hampir 24/7 bareng2 sama orang lain terus khususnya temen sekamar heheh",1,1,2,2,2,2,2,24
26/06/2026,17,Perempuan,1-3 tahun,"Anak pertama di keluarga, punya 3 adik, hal yang paling berat itu ketika biasanya denger ricuh adek adek setiap hari sekarang sepi banget, cuma bisa ketemu beberapa bulan sekali, kangen sih homesick iya",2,1,0,2,3,2,2,24
26/06/2026,14,Laki-Laki,>3 Tahun,"Sekarang udah mulai terbiasa tapi pas awal sulit di adaptasi rutinitas hariannya yang beda drastis, sempet gabisa tidur",2,2,1,1,2,1,1,20
26/06/2026,19,Perempuan,1-3 tahun,"Setelah di asrama aku ngerasa ada beda di tubuh ya jadi agak lebih sensitif, misal gampang lelah gitu, trs ga sebugar dulu",2,2,1,2,2,1,1,22
26/06/2026,17,Perempuan,1-3 tahun,"dalam setahun terakhir paling sulit di aturan sih, agak kaget jujur jadi bikin dah dig dug tiap hari, tiap malem, istirahat kurang optimal",3,0,0,1,2,0,1,14
26/06/2026,17,Laki-Laki,>3 Tahun,"Aku gapernah punya target hafalan gitu sebelum mondok, setelah mondok pasti ada itu dan aturan ketat lainnya, perlu waktu banget sih buat kayak masuk ke lingkugannya",3,2,1,2,2,1,1,24
26/06/2026,16,Laki-Laki,1-3 tahun,"banyak yang harus di biasakan seperti menerima teman kamar yang kurang se frekuensi, lalu menyesuaikan kebiasaan dengan aturan",1,2,2,1,1,2,2,22
26/06/2026,17,Perempuan,<1 Tahun,setelah ke pondok perasaanku entah kenapa jadi lebih mudah cemas mungkin karena jauh dari ortu ibarat gaada yang jagain everything is on my hand gitu lebih tertekan ,2,1,3,2,3,1,2,28
26/06/2026,14,Laki-Laki,<1 Tahun,pas masih tidur di rumah ku orangnya ngantukan pas ke pondok jadi insomnia wkwkw sulit,2,0,1,1,1,1,0,12
26/06/2026,19,Perempuan,1-3 tahun,"Hal yang paling sulit itu di manajemen waktuku sih sama belum terlalu bisa ngatur ngatur pas awal awal mondok, sampe sekarang sih masih tapi agak mending",1,2,2,2,1,2,2,24
26/06/2026,18,Perempuan,1-3 tahun,"Ngerasa di kontrol sama orang yang bahkan bukan siapa siapa aku gitu, kadang masih gabisa terima",2,1,1,2,2,1,2,22
26/06/2026,18,Perempuan,>3 Tahun,"JUJUR, asramaku serem jadi...paling bikin stres dan gabisa tidur sih gegara hal mistisnya ",2,1,1,3,2,0,0,18
26/06/2026,14,Laki-Laki,>3 Tahun,Paling berat di bagian stres akademik dan ngejar target yayasan sih kalo aku,1,2,0,2,3,0,3,22
26/06/2026,17,Laki-Laki,1-3 tahun,"santai tentram aja si karena saya orangnya bodo amatan, yang penting jauhin ustadz dan kakak kelas yang rese",1,0,0,0,1,1,0,6
26/06/2026,18,Perempuan,1-3 tahun,"Ada hukuman/tazir,jika telat sholat jamaah,tidak setoran hapalan yang bikin cape",2,0,0,1,2,2,1,16
26/06/2026,18,Laki-Laki,1-3 tahun,Nggak bisa main HP susah untuk keluar asrama,2,0,1,1,1,1,0,12
26/06/2026,18,Perempuan,>3 Tahun,"Susah banget buat sekadar senyum kalau lagi kumpul asrama, kepalaku udah terlalu penuh sama urusan setoran yang nunggak.",2,2,1,1,1,1,2,20
26/06/2026,17,Perempuan,1-3 tahun,"so farr enak enak ajaa, karena anaka kamar akuu enakk  🥰🥰🥰",1,0,1,1,1,1,0,10
26/06/2026,18,Laki-Laki,>3 Tahun,"Semuanya serba diatur,merasa terkurung",2,0,1,1,1,1,0,12
26/06/2026,18,Laki-Laki,>3 Tahun,sendal hilang terusss padahal sendal baru,1,2,0,0,1,0,0,8
26/06/2026,19,Laki-Laki,>3 Tahun,yaa lumayan capek pas jadi ketua kamar,3,1,0,0,2,2,0,16
26/06/2026,18,Laki-Laki,>3 Tahun,"Rasanya mau gila! Mataku udah perih banget pengen tidur, tapi isi kepalaku berisik banget mikirin hafalan dan hukuman besok sampai nggak bisa merem.",3,1,1,2,3,2,1,26
26/06/2026,17,Laki-Laki,>3 Tahun,"Bawaannya ketus terus kalau ditanya-tanya soal progress hafalan, karena itu bener-bener hal yang bikin aku gampang emosi.",2,2,0,0,1,3,1,18
26/06/2026,18,Perempuan,>3 Tahun,"banyak hukuman yang terlalu berlebihan, padahal kesalahanya sepele",2,2,0,1,1,0,3,18
26/06/2026,18,Perempuan,>3 Tahun,"ada fikiran bisa dapet nilai bagus ga ya, soalnya mau masuk universitas impian",2,0,2,1,1,1,3,20
26/06/2026,19,Laki-Laki,>3 Tahun,"dipanggil terus dihukum sama kakak kelas gara"" anggota kamar  ada yang bikin salah",1,2,0,1,2,2,0,16
26/06/2026,17,Laki-Laki,1-3 tahun,"Agak deg-degan pas namaku tiba-tiba diabsen buat ngerjain soal di papan tulis, alhamdulillah untung bisa jawabnya.",2,1,1,3,2,1,0,20
26/06/2026,18,Perempuan,>3 Tahun,"Sensitif banget kalau ngerasa dikacangin pas lagi rapat organisasi asrama, bawaannya pengen banting pintu terus keluar.",1,3,0,0,1,3,0,16
26/06/2026,14,Perempuan,>3 Tahun,Nggak bisa main HP susah untuk keluar asrama,1,0,0,1,3,1,1,14
26/06/2026,16,Laki-Laki,<1 Tahun,"Paling kesel kalau lagi fokus ngafal di masjid terus ada yang malah bercanda, konsentrasi langsung buyar.",2,3,0,0,2,3,0,20
26/06/2026,18,Laki-Laki,>3 Tahun,"Sensitif banget kalau soal kebersihan, ada sampah dikit di depan lemari aja bisa bikin diceramahin seisi kamar.",1,3,0,0,2,3,0,18
26/06/2026,17,Perempuan,>3 Tahun,Tertekan banget nanggung ekspektasi ustadzah yang selalu nuntut bacaanku harus sempurna tanpa celah tiap pagi.,1,2,1,2,2,2,1,22
26/06/2026,18,Perempuan,>3 Tahun,"Intoleran banget sama orang yang nyela pembicaraanku pas lagi debat di kelas, bener-bener bikin emosiku kesulut",2,2,0,0,2,3,1,20
26/06/2026,19,Laki-Laki,>3 Tahun,sebel bener sama ustadz yang kalo ngehukum langsung gunting rambut,1,2,0,2,2,2,0,18
26/06/2026,15,Perempuan,>3 Tahun,"Nggak sabar nunggu liburan semesteran tiba, rasanya hari-hari di pondok berjalan lambat banget",1,2,0,0,2,3,1,18
26/06/2026,15,Laki-Laki,1-3 tahun,Yang paling berat buat aku itu jadwal hafalan yang padat. Kadang malam masih kepikiran target besok sampai susah benar-benar istirahat.,3,1,1,1,3,1,1,22
26/06/2026,14,Perempuan,<1 Tahun,"Sejujurnya saya paling sering merasa tertekan ketika hafalan belum lancar, padahal teman-teman sudah banyak yang setor. Rasanya jadi takut sendiri.",2,2,3,2,2,0,1,24
